policy_id,regime,seed,days,total_demand,completed_loads,unmet_demand,demand_fulfillment_rate,effective_output,total_tco,total_tco_report_value,pm_cost,cm_cost,downtime_cost,degradation_cost,unmet_demand_cost,pm_count,pm_component_count,pm_tire,pm_engine,pm_brake,cm_count,cm_tire,cm_engine,cm_brake,failure_count,total_downtime_hours,avg_truck_hi,avg_tire_hi,avg_engine_hi,avg_brake_hi,avg_frailty,max_frailty,availability_rate,route_r_a1_loads,route_r_a2_loads,route_r_b1_loads,route_r_b2_loads,route_r_c1_loads,route_r_c2_loads,shovel_a_loads,shovel_b_loads,shovel_c_loads,crusher_1_loads,crusher_2_loads,pm_bay_utilization,max_simultaneous_pm,standby_reserve_activations,avg_selected_route_value,avg_selected_risk_penalty,avg_selected_capacity_score,avg_selected_queue_penalty
H2,heterogeneous_condition,105,90,18900,18900,0,1.0,4828880.0,4208.161575,4208161.575,1621.5,0.0,2445.6,141.061575,0.0,572,574,227,200,147,0,0,0,0,0,2038,0.454213,0.483968,0.544062,0.540173,1.020715,2.576161,0.772815,44,0,5580,0,5940,7336,44,5580,13276,11564,7336,0.339815,2,0,0.685517,1.60453,36.070476,0.506204
H2,heterogeneous_condition,106,90,18900,18900,0,1.0,4828880.0,4134.42232,4134422.32,1592.5,0.0,2403.6,138.32232,0.0,556,558,214,203,141,0,0,0,0,0,2003,0.470498,0.507733,0.536314,0.525649,0.982959,2.36643,0.773185,44,0,5580,0,5940,7336,44,5580,13276,11564,7336,0.335185,2,0,0.685517,1.61773,36.070476,0.506204
H2,heterogeneous_condition,107,90,18900,18900,0,1.0,4828600.0,3651.137699,3651137.699,1417.5,0.0,2104.8,128.837699,0.0,525,526,248,151,127,0,0,0,0,0,1754,0.47124,0.513073,0.5426,0.513792,0.96149,2.78374,0.777204,40,0,5580,0,5940,7340,40,5580,13280,11560,7340,0.284954,2,0,0.685511,1.57657,36.071429,0.506167
H2,heterogeneous_condition,108,90,18900,18900,0,1.0,4828670.0,4743.539222,4743539.222,1803.5,0.0,2782.8,157.239222,0.0,652,653,243,195,215,0,0,0,0,0,2319,0.457436,0.509965,0.517259,0.534403,1.128587,3.150683,0.769111,41,0,5580,0,5940,7339,41,5580,13279,11561,7339,0.386111,2,0,0.685513,1.622883,36.070212,0.506192
H2,heterogeneous_condition,109,90,18900,18900,0,1.0,4829020.0,3480.806853,3480806.853,1336.0,0.0,2020.8,124.006853,0.0,499,502,222,128,152,0,0,0,0,0,1684,0.462552,0.526826,0.524017,0.527831,0.909119,2.084195,0.778019,46,0,5580,0,5940,7334,46,5580,13274,11566,7334,0.274769,2,0,0.685521,1.579558,36.06254,0.506339
H2,heterogeneous_condition,110,90,18900,18900,0,1.0,4828040.0,5134.89217,5134892.17,1985.5,0.0,2982.0,167.39217,0.0,703,709,291,239,179,0,0,0,0,0,2485,0.472718,0.507642,0.579272,0.536791,1.167516,3.047173,0.766963,32,0,5580,0,5940,7348,32,5580,13288,11552,7348,0.412963,2,0,0.685498,1.633972,36.077354,0.506031
H3,heterogeneous_condition,101,90,18900,18900,0,1.0,5191200.0,4665.002947,4665002.947,1799.5,0.0,2720.4,145.102947,0.0,651,658,279,196,183,0,0,0,0,0,2267,0.737828,0.785522,0.765985,0.770221,0.937723,2.4518,0.770074,5220,0,5580,0,5940,2160,5220,5580,8100,16740,2160,0.374074,2,0,0.693816,1.78192,36.033333,0.534727
H3,heterogeneous_condition,102,90,18900,18900,0,1.0,5191200.0,4623.560295,4623560.295,1817.0,0.0,2660.4,146.160295,0.0,657,669,332,207,130,0,0,0,0,0,2217,0.734905,0.764543,0.760785,0.776481,0.873249,2.345799,0.771111,5220,0,5580,0,5940,2160,5220,5580,8100,16740,2160,0.361111,2,0,0.693816,1.786707,36.033333,0.534727
H3,heterogeneous_condition,103,90,18900,18900,0,1.0,5191200.0,5957.062617,5957062.617,2317.0,0.0,3459.6,180.462617,0.0,803,820,339,291,190,0,0,0,0,0,2883,0.721423,0.749221,0.767369,0.759316,0.992559,2.718937,0.761444,5220,0,5580,0,5940,2160,5220,5580,8100,16740,2160,0.481944,2,0,0.693816,1.841548,36.033333,0.534727
H3,heterogeneous_condition,104,90,18900,18900,0,1.0,5191200.0,5089.986066,5089986.066,1971.0,0.0,2958.0,160.986066,0.0,725,744,345,189,210,0,0,0,0,0,2465,0.727939,0.772211,0.748347,0.781957,0.94391,2.700947,0.767741,5220,0,5580,0,5940,2160,5220,5580,8100,16740,2160,0.403241,2,0,0.693816,1.81029,36.033333,0.534727
H3,heterogeneous_condition,105,90,18900,18900,0,1.0,5191200.0,5415.33486,5415334.86,2099.5,0.0,3150.0,165.83486,0.0,744,759,322,242,195,0,0,0,0,0,2625,0.740784,0.774168,0.781529,0.782497,1.020715,2.576161,0.765148,5220,0,5580,0,5940,2160,5220,5580,8100,16740,2160,0.435648,2,0,0.693816,1.813691,36.033333,0.534727
H3,heterogeneous_condition,106,90,18900,18900,0,1.0,5191200.0,4908.604903,4908604.903,1896.0,0.0,2864.4,148.204903,0.0,649,658,245,249,164,0,0,0,0,0,2387,0.727054,0.77558,0.754517,0.772335,0.982959,2.36643,0.767796,5220,0,5580,0,5940,2160,5220,5580,8100,16740,2160,0.402546,2,0,0.693816,1.814946,36.033333,0.534727
