policy_id,regime,seed,day,completed_loads,unmet_loads,route_fallback_loads,route_rejected_loads,route_queue_hours,shovel_queue_hours,crusher_queue_hours,congestion_delay_hours_total,congestion_cost,avg_realized_cycle_time_min,avg_realized_cycle_time_hours,completed_loads_per_hour,route_hhi,max_route_share,route_r_a1_loads,route_r_a2_loads,route_r_b1_loads,route_r_b2_loads,route_r_c1_loads,route_r_c2_loads,route_r_a1_attempts,route_r_a2_attempts,route_r_b1_attempts,route_r_b2_attempts,route_r_c1_attempts,route_r_c2_attempts,shovel_a_loads,shovel_b_loads,shovel_c_loads,shovel_a_attempts,shovel_b_attempts,shovel_c_attempts,crusher_1_loads,crusher_2_loads,crusher_1_attempts,crusher_2_attempts
H0,heterogeneous_condition,101,17,210,0,0,0,0.0,0.007941,0.007008,0.014949,0.007475,24.860552,0.414343,8.75,0.183401,0.22381,47,44,47,26,23,23,47,44,47,26,23,23,91,73,46,91,73,46,117,93,117,93
H0,heterogeneous_condition,101,18,210,0,0,0,0.0,0.012201,0.006114,0.018315,0.009158,24.977636,0.416294,8.75,0.183356,0.22381,47,46,45,26,24,22,47,47,45,26,24,22,93,71,46,94,71,46,116,94,116,95
H0,heterogeneous_condition,101,19,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.86707,0.414451,8.75,0.184263,0.22381,45,47,47,23,25,23,45,47,47,23,25,23,92,70,48,92,70,48,117,93,117,93
H0,heterogeneous_condition,101,20,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.908437,0.415141,8.75,0.184263,0.22381,47,45,47,25,23,23,47,45,47,25,23,23,92,72,46,92,72,46,117,93,117,93
H0,heterogeneous_condition,101,21,210,0,0,0,0.0,0.012201,0.006114,0.018315,0.009158,25.025154,0.417086,8.75,0.184308,0.22381,47,47,45,25,24,22,47,47,45,25,24,22,94,70,46,94,70,46,116,94,116,94
H0,heterogeneous_condition,101,22,210,0,0,0,0.0,0.010645,0.007985,0.01863,0.009315,24.890632,0.414844,8.75,0.185306,0.22381,46,47,47,22,25,23,46,47,47,22,25,23,93,69,48,93,69,48,118,92,118,92
H0,heterogeneous_condition,101,23,210,0,0,0,0.0,0.007941,0.007008,0.014949,0.007475,24.860552,0.414343,8.75,0.183401,0.22381,47,44,47,26,23,23,47,44,47,26,23,23,91,73,46,91,73,46,117,93,117,93
H0,heterogeneous_condition,101,24,210,0,0,0,0.0,0.012201,0.006114,0.018315,0.009158,24.950922,0.415849,8.75,0.182449,0.22381,47,46,44,26,25,22,47,47,44,26,25,22,93,70,47,94,70,47,116,94,116,95
H0,heterogeneous_condition,101,25,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.86707,0.414451,8.75,0.184263,0.22381,45,47,47,23,25,23,45,47,47,23,25,23,92,70,48,92,70,48,117,93,117,93
H0,heterogeneous_condition,101,26,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.908437,0.415141,8.75,0.184263,0.22381,47,45,47,25,23,23,47,45,47,25,23,23,92,72,46,92,72,46,117,93,117,93
H0,heterogeneous_condition,101,27,210,0,0,0,0.0,0.012201,0.006114,0.018315,0.009158,24.998439,0.416641,8.75,0.183401,0.22381,47,47,44,25,25,22,47,47,44,25,25,22,94,69,47,94,69,47,116,94,116,94
H0,heterogeneous_condition,101,28,210,0,0,0,0.0,0.009227,0.007008,0.016235,0.008118,24.86707,0.414451,8.75,0.184263,0.22381,45,47,47,23,25,23,45,47,47,23,25,23,92,70,48,92,70,48,117,93,117,93
H0,heterogeneous_condition,101,29,210,0,0,0,0.0,0.007941,0.007985,0.015926,0.007963,24.815508,0.413592,8.75,0.183311,0.22381,47,44,47,25,24,23,47,44,47,25,24,23,91,72,47,91,72,47,118,92,118,92
H0,heterogeneous_condition,101,30,210,0,0,0,0.0,0.012201,0.007008,0.019209,0.009605,25.009278,0.416821,8.75,0.184444,0.22381,47,47,45,25,25,21,47,47,45,25,25,21,94,70,46,94,70,46,117,93,117,93
